uuid,planting_status
330dc4a7-d90a-4fd0-8615-ecbac04d29c0,completed
513b607a-1e02-4d3e-91f7-076c8e0b17c8,completed
8741c4e0-7516-4431-b70a-1e160cdb88cd,in-progress
fa57d93f-c7c4-4bcb-b1c3-01a2d5fcaa77,not-started
2380cb99-29c1-4625-9377-214b3b5831fb,not-started
e647e2d8-9b23-4330-a195-ebfbd9272baa,in-progress
71f42b40-c9a7-4b77-b512-bc38e3afd5a3,in-progress
e5adfff4-105d-45ad-8aec-2ba18d31bc34,in-progress
2a66827d-7b78-4e02-a24a-150ccc63b814,replacement-planting
c434d91a-c140-4116-9f21-1f0f78dc8fbe,completed
330324b4-f969-499c-b318-e0908befb850,in-progress
5ee83d90-a780-4062-b0d8-4bf8419c5b62,in-progress
efd9e14c-573c-4a9a-99ac-f365b165145a,in-progress
d4cbb1ed-f78d-4030-9289-a6ce67d71879,in-progress
18eafdee-d66f-4e5c-999b-22768d2bb9d9,not-started
75d91bc2-d119-494d-8ece-a432b260e80b,not-started
cdc4bf92-d3a0-4f15-9e27-913788527a49,in-progress
e20076ff-03bc-4279-b019-03325b160a5a,in-progress
e1929f63-db95-4d49-9b1b-dde92d8ab839,in-progress
703066da-5d3b-43b5-868d-03126dc42d05,replacement-planting
5298552e-9a28-453a-8cfe-6cbb856f04ed,in-progress
f496fa1e-e028-43d6-a697-35e5dec781c2,not-started
1e05221c-a8f5-4ab2-a5f3-f74be7e126b4,in-progress
559d7704-7744-4c3c-80d9-73f35b6d8d31,not-started
a20997e1-299b-4301-9c8e-6bf005007036,in-progress
f31b11f8-1b8f-4ffe-8fe9-57c587a6c837,not-started
8667e498-a315-46a6-abf4-85a3f114e85a,in-progress
74e9c55d-e7c7-4fb0-836d-c314a6cf1b4d,in-progress
ca097c79-800c-44d7-8389-92ec50123267,in-progress
85590b78-fb06-40fe-b982-a2200ac548fe,in-progress
43ca3d3c-c1e4-401d-a4ef-bf28b0811fc8,replacement-planting
d66c2811-e62c-4a3c-b5a8-1e4f823901e9,completed
5c911d6e-bc0a-4571-b839-02a6a456b826,in-progress
402bf8a2-3fff-44c0-b5c0-240d533ac61b,in-progress
744a4ca5-e58e-40d0-9a47-d4d6ab569d32,in-progress
6127fb4d-9f10-497d-8ef8-7d0b0ccba305,in-progress
8d75c36e-33ca-488b-91e7-0bf566eecd84,in-progress
aa56a05a-4be2-4064-927a-a3212547792f,not-started
8df44eb5-0785-4585-9664-f88186d5e599,not-started
d9ce476c-8d75-4915-942c-84da1a3dfabc,in-progress
a852d2c1-fab7-4c75-959f-8d683798f897,in-progress
ebc76912-57de-4a32-8928-649ca0502ef5,not-started
87c5f404-d0aa-4153-87ec-ed256bbf6e38,not-started
44efed47-3b00-40d2-8855-20e1671612e6,in-progress
0cca132b-7652-405e-b36b-f4a23e70ae25,in-progress
c4b76f2e-0a96-4d74-91d5-508b430717b5,in-progress
38bebccd-001b-491c-acd5-e133f14db22f,replacement-planting
ec3acc3d-9587-4b8f-a041-6beb215eb124,in-progress
055c040b-c873-48c3-8374-f9d125965888,in-progress
b3bcc820-742d-41e0-8868-81fd3aadcf2f,in-progress
628fcb04-4515-4146-b5aa-4c651c64d3f5,in-progress
7b5b7d1e-fbac-494b-a0d3-2210ba4db1ea,in-progress
0d457ed2-ff6d-4d2d-82ea-8712eaf99064,in-progress
95e6ddf6-fb6c-49a1-ae20-29e509cbbb17,replacement-planting
359b46e4-afe4-4a93-acc4-f238ab84a16d,completed
cf42e747-890a-4757-b2ba-5487b66f2e2b,in-progress
2bed3735-a7c8-4d0e-8943-d750b1b6ae37,completed
b0d4479d-b250-44ff-8945-eb4480ca89ab,completed
badbbe2e-970e-405b-8dac-704184441b6f,not-started
9760e1ce-b438-483f-bd7d-65e3ff2d1131,in-progress
bd1cd393-6e67-438f-be26-430ae0da6585,in-progress
bf11cdc3-7ab5-4f19-9ceb-b132eb57ebc4,in-progress
bd744023-fa92-41cb-9868-15dff6d85874,in-progress
a22c3b6e-6e5d-4dec-b9b1-6e58f2f4387f,in-progress
014c7154-fd78-4099-939a-4561b1645ab9,replacement-planting
